Date,Open,High,Low,Close,Volume
2025-07-22 19:33:20.539206,2011.5294802308945,2056.3459888490315,1996.179187837685,2014.15767299475,19749961
2025-07-23 19:33:20.539206,1963.9764182181616,1984.1242514464127,1942.789811273676,1974.0958575355553,20021254
2025-07-24 19:33:20.539206,2026.8800652162427,2036.8601901339255,1983.6788730665444,2016.565015784243,37289193
2025-07-25 19:33:20.539206,2017.6394807636163,2039.27959550071,2011.6712071270408,2035.813083964278,9785512
2025-07-26 19:33:20.539206,2121.9348934408295,2141.071924613875,2098.853982005607,2122.9767716923006,24683200
2025-07-27 19:33:20.539206,2163.535573869559,2205.46467435054,2136.013348377903,2169.5983316957504,48681927
2025-07-28 19:33:20.539206,2228.8258606270742,2247.6969169977615,2192.2858134679245,2214.6402042088953,17923019
2025-07-29 19:33:20.539206,2226.4197194155577,2234.8469027742885,2181.5739199838386,2227.245816905812,17938104
2025-07-30 19:33:20.539206,2251.4752276553986,2281.0712063503533,2204.123233943844,2239.441130012787,47190143
2025-07-31 19:33:20.539206,2143.4281545037097,2160.076284122203,2117.4641078985455,2155.9944826181822,35420390
2025-08-01 19:33:20.539206,2187.04110358369,2189.2281446872735,2147.6168185150054,2175.4722398707777,42598802
2025-08-02 19:33:20.539206,2152.3457288442837,2185.6523347073335,2150.1933831154392,2171.889594220335,24540976
2025-08-03 19:33:20.539206,2189.187977997191,2216.985483597248,2147.8238345323025,2176.82732185498,3077208
2025-08-04 19:33:20.539206,2155.705788778301,2177.9417513568633,2127.048550423715,2136.4669122531513,5271029
2025-08-05 19:33:20.539206,2188.0241967221887,2191.245454902743,2164.2738380720657,2174.222281919968,45845534
2025-08-06 19:33:20.539206,2095.3587752114895,2098.1171792006453,2076.029655925124,2094.5558216351005,14224222
2025-08-07 19:33:20.539206,2040.5072036526974,2042.5477108563498,2026.976032482623,2031.0582217813665,40874804
2025-08-08 19:33:20.539206,2002.5857920751419,2036.527142221221,1960.060933828356,2000.825199018219,5469025
2025-08-09 19:33:20.539206,1975.3300049794266,2002.1532842443282,1973.354674974447,1986.1195940114026,8152839
2025-08-10 19:33:20.539206,2003.8639295212229,2037.2506935381202,1994.0612671678323,2018.574621478199,11516532
2025-08-11 19:33:20.539206,2062.751946382431,2102.5748597986612,2038.0888566040003,2068.3243969468153,23412299
2025-08-12 19:33:20.539206,2091.004428841831,2124.825402440977,2074.070747853852,2098.545122284662,4815298
2025-08-13 19:33:20.539206,2108.135214591345,2151.1313342684944,2096.117458972632,2114.3431686271047,10691967
2025-08-14 19:33:20.539206,2150.937546034525,2183.211436193384,2125.765925408999,2154.323245851183,36734616
2025-08-15 19:33:20.539206,2142.5901100380875,2157.583585725662,2117.0138296921473,2123.9285695140966,10342667
2025-08-16 19:33:20.539206,2137.7498583859515,2155.3685506973234,2107.829613529791,2126.113199325087,42012970
2025-08-17 19:33:20.539206,2093.856670318236,2126.9173220136413,2077.903900524356,2111.107425966112,16047381
2025-08-18 19:33:20.539206,2129.3664876228527,2178.8551289102074,2122.774624587667,2139.067027577626,8067334
2025-08-19 19:33:20.539206,2204.5411403901367,2226.112360021906,2161.214804809343,2188.0537776898555,4441262
2025-08-20 19:33:20.539206,2199.847983049699,2214.12053518906,2174.050048808995,2199.9587790317387,5172473
2025-08-21 19:33:20.539206,2251.275382614771,2253.5266579973854,2223.8414102486386,2229.873084571777,26150748
2025-08-22 19:33:20.539206,2179.2001201959533,2210.6629485065387,2166.5976240820096,2181.8390003893774,26883742
2025-08-23 19:33:20.539206,2236.5588666277495,2250.9452539537824,2234.322307761122,2243.8652704825263,34734082
2025-08-24 19:33:20.539206,2232.0311669776056,2234.263198144583,2202.6032385214157,2211.8799468170564,29487743
2025-08-25 19:33:20.539206,2156.5342402305137,2188.3287569796685,2151.4478141765026,2159.027197724134,5687593
2025-08-26 19:33:20.539206,2127.6587916166345,2149.1456571767712,2125.5311328250177,2145.8286422439437,45454336
2025-08-27 19:33:20.539206,2150.713802277845,2196.840071176985,2146.4640863066243,2166.424347508351,31850862
2025-08-28 19:33:20.539206,2207.2520308461653,2237.63131999649,2183.133423533717,2213.857414586496,36410642
2025-08-29 19:33:20.539206,2138.7132383164535,2160.53142515865,2130.9316150520767,2136.2824618873224,28166774
2025-08-30 19:33:20.539206,2162.8349069670603,2202.3966057600896,2145.366699638228,2169.384671493213,33670260
2025-08-31 19:33:20.539206,2291.5659901888835,2295.784374482571,2276.182086647347,2287.627542508335,20582105
